CustomerID,Gender,Age,Region,Tenure,SubscriptionType,MonthlyCharges,TotalSpend,NumOfPurchases,EngagementScore,CustomerSatisfaction,SupportTickets,PaymentMethod,AutoRenewal,Churn
CUST00001,Male,49,West,19,Premium,77.17,955.95,8,57,2,0,UPI,1,0
CUST00002,Female,53,East,28,Standard,21.53,2948.66,7,71,4,0,UPI,1,0
CUST00003,Female,67,West,10,Standard,109.19,1292.4,76,5,5,1,PayPal,0,0
CUST00004,Female,54,West,27,Standard,112.07,299.05,1,14,3,1,UPI,0,0
CUST00005,Male,65,West,13,Standard,93.31,606.18,54,20,4,1,UPI,1,0
CUST00006,Male,31,North,2,Basic,66.65,3607.03,12,36,2,1,PayPal,1,0
CUST00007,Male,44,South,22,Premium,45.49,1075.36,80,69,1,2,PayPal,0,0
CUST00008,Female,36,North,59,Standard,94.41,1299.87,14,53,5,1,Auto-Debit,0,0
CUST00009,Female,48,North,20,Basic,113.18,2010.83,94,28,4,0,UPI,1,0
CUST00010,Female,63,South,43,Premium,35.85,3354.76,19,57,2,0,UPI,0,0
CUST00011,Male,26,South,5,Basic,66.58,2452.99,19,88,3,1,Credit Card,1,1
CUST00012,Other,55,East,6,Premium,51.53,4734.13,77,86,2,4,PayPal,0,0
CUST00013,Female,34,South,35,Basic,55.67,2284.07,74,90,2,0,UPI,1,0
CUST00014,Male,36,East,1,Standard,60.58,1155.83,93,86,4,1,PayPal,1,0
CUST00015,Male,61,East,35,Standard,115.18,2773.49,28,18,3,0,PayPal,1,0
CUST00016,Male,21,North,3,Standard,45.86,2364.27,77,91,1,1,Auto-Debit,0,1
CUST00017,Male,65,West,54,Basic,69.27,3978.26,15,33,4,0,PayPal,1,0
CUST00018,Female,28,North,36,Basic,115.15,4688.58,81,57,5,1,UPI,0,0
CUST00019,Male,39,North,7,Basic,67.61,4214.22,63,70,3,2,Credit Card,1,0
CUST00020,Male,21,South,29,Premium,106.36,2067.39,23,12,1,1,Auto-Debit,1,0
CUST00021,Female,34,South,15,Basic,25.88,1237.36,43,3,1,1,Auto-Debit,0,0
CUST00022,Male,25,East,11,Standard,115.3,4589.55,10,10,3,1,PayPal,1,0
CUST00023,Male,63,East,18,Premium,38.75,2052.51,36,49,5,1,Auto-Debit,1,0
CUST00024,Male,51,East,44,Premium,117.99,3896.99,63,20,2,0,UPI,1,0
CUST00025,Male,28,South,4,Basic,37.56,4949.73,49,59,4,2,Auto-Debit,1,0
CUST00026,Female,48,East,24,Premium,64.44,2971.72,14,20,5,1,UPI,0,0
CUST00027,Male,28,East,11,Basic,50.86,2503.43,96,42,1,1,Credit Card,0,1
CUST00028,Female,55,South,6,Standard,63.32,3559.38,34,44,5,2,PayPal,0,0
CUST00029,Female,38,West,58,Standard,45.05,1130.87,95,41,2,0,PayPal,1,0
CUST00030,Male,63,North,51,Basic,116.53,2543.55,39,25,5,2,Auto-Debit,0,0
CUST00031,Female,47,South,58,Basic,50.57,1699.19,32,30,5,2,Credit Card,1,0
CUST00032,Male,27,East,18,Standard,85.33,988.29,80,48,1,1,PayPal,1,0
CUST00033,Male,43,North,15,Standard,33.74,3128.66,90,67,5,1,PayPal,1,0
CUST00034,Female,44,South,3,Premium,102.44,2963.39,81,2,4,1,UPI,0,0
CUST00035,Other,25,North,17,Basic,74.25,3853.78,22,38,3,0,UPI,1,0
CUST00036,Female,56,North,33,Premium,117.94,4390.26,35,47,1,3,UPI,1,0
CUST00037,Male,25,West,34,Standard,62.34,1257.8,23,20,3,2,UPI,1,0
CUST00038,Male,25,East,30,Premium,39.54,3942.57,25,17,5,1,Auto-Debit,1,0
CUST00039,Female,51,South,19,Standard,54.6,1963.45,69,96,2,5,Auto-Debit,1,0
CUST00040,Male,33,East,9,Premium,93.7,3218.27,6,34,1,1,UPI,1,1
CUST00041,Male,58,West,40,Basic,85.91,4281.15,90,31,5,0,Credit Card,1,0
CUST00042,Female,30,West,44,Standard,97.83,1429.69,60,54,5,2,Auto-Debit,1,0
CUST00043,Male,40,South,31,Basic,27.35,3084.61,6,10,2,1,UPI,1,0
CUST00044,Female,29,South,59,Basic,78.04,2505.53,19,57,5,0,UPI,1,0
CUST00045,Male,44,West,27,Standard,113.22,3994.77,19,94,4,2,Credit Card,1,0
CUST00046,Female,39,South,47,Standard,30.79,3546.76,95,93,2,2,Credit Card,1,0
CUST00047,Male,49,North,25,Basic,29.43,3894.23,87,37,1,0,Credit Card,1,0
CUST00048,Female,66,North,55,Standard,91.66,1582.13,12,45,1,0,PayPal,0,0
CUST00049,Female,44,West,7,Standard,51.52,3580.91,13,19,3,0,PayPal,1,1
CUST00050,Male,19,East,53,Basic,85.86,3107.87,86,25,4,2,Credit Card,1,0
CUST00051,Other,62,South,48,Standard,74.54,2392.07,50,10,4,2,Auto-Debit,0,0
CUST00052,Female,50,South,7,Standard,118.61,2016.05,67,65,1,1,Auto-Debit,1,0
CUST00053,Female,43,North,20,Basic,108.91,1791.68,76,80,5,1,UPI,0,0
CUST00054,Female,45,South,53,Standard,87.81,246.44,31,87,4,1,UPI,1,0
CUST00055,Female,36,East,44,Standard,46.17,1013.88,77,93,4,0,Credit Card,1,0
CUST00056,Female,60,South,49,Premium,46.19,483.1,23,36,5,3,PayPal,1,0
CUST00057,Male,22,South,43,Basic,108.22,4272.12,77,5,2,0,UPI,1,0
CUST00058,Male,50,North,36,Premium,78.53,4328.43,70,53,5,0,Auto-Debit,1,0
CUST00059,Male,37,South,19,Basic,98.93,4261.73,58,86,3,2,UPI,1,0
CUST00060,Male,47,West,2,Standard,64.99,4126.01,67,46,3,2,Auto-Debit,1,0
CUST00061,Male,62,West,34,Basic,30.31,1262.39,71,98,1,1,Credit Card,1,0
CUST00062,Male,25,East,56,Premium,53.27,2560.57,10,46,2,1,PayPal,1,0
